Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,0.143023,0.145679,0.135309,0.142875,0.142875,3448515635
2021-05-10,0.142924,0.148139,0.122047,0.127159,0.127159,4063896699
2021-05-11,0.127138,0.139302,0.121564,0.138826,0.138826,4099303989
2021-05-12,0.138895,0.147120,0.118699,0.118699,0.118699,4360921578
2021-05-13,0.119222,0.126589,0.108053,0.121473,0.121473,4797998918
2021-05-14,0.121527,0.128167,0.119432,0.124776,0.124776,3126225399
2021-05-15,0.124794,0.126966,0.118339,0.120691,0.120691,3290167007
2021-05-16,0.120554,0.131113,0.114885,0.119506,0.119506,3644579995
2021-05-17,0.119571,0.119635,0.108732,0.112870,0.112870,3088970039
2021-05-18,0.112694,0.119929,0.112041,0.116386,0.116386,2432893290
2021-05-19,0.116495,0.117895,0.064526,0.079332,0.079332,4661555306
2021-05-20,0.079010,0.093151,0.073718,0.089597,0.089597,2897823918
2021-05-21,0.089249,0.093225,0.071371,0.077921,0.077921,2636925196
2021-05-22,0.078054,0.079191,0.071171,0.075359,0.075359,1963047915
2021-05-23,0.075428,0.077161,0.055726,0.063181,0.063181,2311184087
2021-05-24,0.062989,0.076880,0.061991,0.076723,0.076723,2612529960
2021-05-25,0.076978,0.080916,0.071675,0.077281,0.077281,2517356854
2021-05-26,0.077254,0.084412,0.076141,0.083241,0.083241,2452202470
2021-05-27,0.083252,0.083279,0.076760,0.079151,0.079151,1881157842
2021-05-28,0.079410,0.080024,0.070350,0.072087,0.072087,1935535999
2021-05-29,0.072077,0.074430,0.067195,0.068783,0.068783,1715969409
2021-05-30,0.068763,0.073145,0.066654,0.072036,0.072036,1308704706
2021-05-31,0.071997,0.076920,0.069879,0.076920,0.076920,1317577084
2021-06-01,0.076863,0.077498,0.073752,0.076136,0.076136,1680627011
2021-06-02,0.076154,0.079563,0.074594,0.078041,0.078041,1309569035
2021-06-03,0.078075,0.082493,0.077237,0.082119,0.082119,1309491953
2021-06-04,0.082210,0.082891,0.073998,0.077252,0.077252,1607401363
2021-06-05,0.077234,0.079813,0.074312,0.075596,0.075596,1256512914
2021-06-06,0.075564,0.077515,0.075395,0.077507,0.077507,941526755
2021-06-07,0.077526,0.078614,0.071359,0.071621,0.071621,1014355949
2021-06-08,0.071748,0.073249,0.067367,0.072633,0.072633,1564333796
2021-06-09,0.072531,0.075375,0.070111,0.075375,0.075375,1277102996
2021-06-10,0.075380,0.077086,0.071605,0.072609,0.072609,1488792119
2021-06-11,0.072616,0.073319,0.068570,0.069143,0.069143,1257136952
2021-06-12,0.069212,0.069212,0.065818,0.068119,0.068119,949381460
2021-06-13,0.068109,0.071854,0.066642,0.071556,0.071556,927457428
2021-06-14,0.071514,0.072867,0.070053,0.072252,0.072252,937971750
2021-06-15,0.072018,0.073162,0.070976,0.072551,0.072551,997561624
2021-06-16,0.071777,0.072748,0.068533,0.068917,0.068917,1076935627
2021-06-17,0.068928,0.073949,0.068789,0.073822,0.073822,1048499053
2021-06-18,0.073897,0.074762,0.068363,0.069584,0.069584,1070084460
2021-06-19,0.069623,0.070253,0.068437,0.068722,0.068722,767687152
2021-06-20,0.068482,0.068698,0.063426,0.067833,0.067833,838602860
2021-06-21,0.067688,0.068016,0.053427,0.053584,0.053584,1389817967
2021-06-22,0.053530,0.056369,0.046821,0.050940,0.050940,1562546370
2021-06-23,0.051022,0.057823,0.049480,0.055722,0.055722,1250973341
2021-06-24,0.057983,0.067926,0.057845,0.066025,0.066025,1612558750
2021-06-25,0.066114,0.068472,0.060172,0.061601,0.061601,1546113262
2021-06-26,0.061469,0.062942,0.058942,0.062696,0.062696,1048264489
2021-06-27,0.062774,0.064917,0.061086,0.064780,0.064780,839958642
2021-06-28,0.064795,0.066536,0.064286,0.065231,0.065231,801639183
2021-06-29,0.065308,0.069838,0.065204,0.067691,0.067691,1159746648
2021-06-30,0.067920,0.068706,0.063917,0.068146,0.068146,1247099128
2021-07-01,0.068192,0.068203,0.063783,0.064894,0.064894,1006008727
2021-07-02,0.064808,0.066593,0.063369,0.066512,0.066512,849413564
2021-07-03,0.066566,0.067337,0.065282,0.066813,0.066813,732889830
2021-07-04,0.066834,0.068182,0.065113,0.067298,0.067298,844766257
2021-07-05,0.067330,0.067344,0.063691,0.064574,0.064574,798184866
2021-07-06,0.064549,0.066369,0.064010,0.064935,0.064935,699504111
2021-07-07,0.064975,0.065973,0.064291,0.064295,0.064295,742194463
2021-07-08,0.064370,0.064479,0.060341,0.061122,0.061122,862275730
2021-07-09,0.061026,0.062555,0.059177,0.062178,0.062178,657442032
2021-07-10,0.062196,0.062993,0.060778,0.061378,0.061378,580818168
2021-07-11,0.061408,0.062540,0.060698,0.061823,0.061823,576300878
2021-07-12,0.061854,0.062856,0.059594,0.060224,0.060224,629129064
2021-07-13,0.060147,0.060728,0.058794,0.059339,0.059339,572600864
2021-07-14,0.059382,0.060268,0.056976,0.059869,0.059869,648866442
2021-07-15,0.059900,0.060696,0.057083,0.057716,0.057716,679113077
2021-07-16,0.057822,0.058790,0.055683,0.055683,0.055683,661820828
2021-07-17,0.055645,0.056687,0.054850,0.055995,0.055995,653077710
2021-07-18,0.056005,0.057477,0.055506,0.056051,0.056051,571783731
2021-07-19,0.055990,0.056275,0.053369,0.053449,0.053449,613695394
2021-07-20,0.053465,0.054233,0.049167,0.050558,0.050558,629142805
2021-07-21,0.050514,0.055184,0.049797,0.053823,0.053823,784720302
2021-07-22,0.053850,0.055356,0.053021,0.055282,0.055282,653910002
2021-07-23,0.055289,0.056216,0.053804,0.056027,0.056027,631144957
2021-07-24,0.055987,0.057987,0.055796,0.057347,0.057347,626451716
2021-07-25,0.057348,0.058108,0.055920,0.057880,0.057880,653096000
2021-07-26,0.057914,0.063393,0.057725,0.058554,0.058554,1123235539
2021-07-27,0.058494,0.060681,0.056968,0.060179,0.060179,951725023
2021-07-28,0.060247,0.061826,0.059712,0.060517,0.060517,897792708
2021-07-29,0.060654,0.062297,0.059760,0.061772,0.061772,751987635
2021-07-30,0.061867,0.063272,0.059903,0.063272,0.063272,820238094
2021-07-31,0.063218,0.064698,0.062416,0.064095,0.064095,848178786
2021-08-01,0.064005,0.066792,0.062555,0.063318,0.063318,895682088
2021-08-02,0.063247,0.065688,0.062344,0.064692,0.064692,820616993
2021-08-03,0.064676,0.065429,0.062947,0.063922,0.063922,902977989
2021-08-04,0.064022,0.067937,0.063593,0.067394,0.067394,855161197
2021-08-05,0.067393,0.070838,0.067261,0.070135,0.070135,1224102604
2021-08-06,0.070154,0.072438,0.069934,0.071883,0.071883,987326057
2021-08-07,0.071934,0.076481,0.071886,0.075156,0.075156,1198065274
2021-08-08,0.075275,0.075977,0.070847,0.071864,0.071864,1225411721
2021-08-09,0.071899,0.074759,0.069808,0.074035,0.074035,1152810402
2021-08-10,0.073963,0.075583,0.072306,0.074659,0.074659,1122106248
2021-08-11,0.074629,0.086333,0.074300,0.083388,0.083388,2180294801
2021-08-12,0.083508,0.091083,0.080713,0.084139,0.084139,2191704712
2021-08-13,0.084236,0.089522,0.083610,0.089427,0.089427,1446124467
2021-08-14,0.089511,0.093223,0.087038,0.092660,0.092660,1470697878
2021-08-15,0.092703,0.095046,0.089429,0.093098,0.093098,1558230624
2021-08-16,0.093002,0.096511,0.088779,0.089663,0.089663,1621564865
2021-08-17,0.089405,0.092154,0.084936,0.085149,0.085149,1310914121
2021-08-18,0.085119,0.087442,0.081553,0.084763,0.084763,1118460118
2021-08-19,0.084660,0.088207,0.081782,0.088207,0.088207,1125639333
2021-08-20,0.088218,0.090607,0.086493,0.090567,0.090567,1021270866
2021-08-21,0.090627,0.090627,0.087820,0.088004,0.088004,987580081
2021-08-22,0.088062,0.090063,0.086140,0.088112,0.088112,825816856
2021-08-23,0.088059,0.091410,0.087820,0.089943,0.089943,1256305126
2021-08-24,0.090000,0.090986,0.084063,0.084620,0.084620,1430714354
2021-08-25,0.084713,0.087662,0.083094,0.087429,0.087429,1155743063
2021-08-26,0.087566,0.088342,0.082249,0.083170,0.083170,1219048378
2021-08-27,0.083133,0.088268,0.081634,0.088268,0.088268,1218334793
2021-08-28,0.088331,0.088751,0.086452,0.088296,0.088296,1007304615
2021-08-29,0.088356,0.090247,0.086966,0.088591,0.088591,1213189319
2021-08-30,0.088573,0.088897,0.085893,0.086191,0.086191,1097597074
2021-08-31,0.086207,0.090547,0.085227,0.088812,0.088812,1469838770
2021-09-01,0.088816,0.095213,0.087345,0.095111,0.095111,1414699568
2021-09-02,0.095097,0.101854,0.094398,0.099926,0.099926,1827683179
2021-09-03,0.099621,0.105843,0.097797,0.101519,0.101519,2084965478
2021-09-04,0.101491,0.103438,0.099492,0.101669,0.101669,1487349617
2021-09-05,0.101513,0.105184,0.101191,0.105147,0.105147,1471892049
2021-09-06,0.105214,0.107251,0.101372,0.103712,0.103712,1516943299
2021-09-07,0.103745,0.105824,0.078055,0.085275,0.085275,2481055300
